3.0;4.0;1.0;1.5;B
1.0;2.0;0.0;0.5;A
1.0;2.0;0.0;0.5;A
5.0;6.0;1.5;2.0;C
3.0;4.0;1.0;1.5;B
1.0;2.0;0.0;0.5;A
4.0;5.0;1.0;1.5;B
4.0;5.0;1.5;2.0;C
6.0;7.0;1.5;2.0;C
5.0;6.0;1.5;2.0;C
1.0;2.0;0.0;0.5;A
1.0;2.0;0.0;0.5;A
4.0;5.0;1.0;1.5;B
3.0;4.0;1.0;1.5;B
4.0;5.0;1.0;1.5;B
5.0;6.0;2.0;2.5;C
6.0;7.0;2.0;2.5;C
3.0;4.0;1.0;1.5;B
3.0;4.0;1.0;1.5;B
1.0;2.0;0.0;0.5;A
6.0;7.0;2.5;3.0;C
5.0;6.0;2.0;2.5;C
1.0;2.0;0.0;0.5;A
1.0;2.0;0.0;0.5;A
1.0;2.0;0.0;0.5;A
4.0;5.0;1.0;1.5;B
1.0;2.0;0.0;0.5;A
5.0;6.0;1.5;2.0;C
1.0;2.0;0.0;0.5;A
1.0;2.0;0.0;0.5;A
4.0;5.0;1.0;1.5;B
3.0;4.0;1.0;1.5;B
3.0;4.0;1.0;1.5;B
4.0;5.0;1.5;2.0;B
4.0;5.0;1.0;1.5;B
1.0;2.0;0.5;1.0;A
4.0;5.0;1.5;2.0;B
5.0;6.0;1.5;2.0;C
5.0;6.0;2.0;2.5;C
5.0;6.0;1.5;2.0;C
6.0;7.0;2.0;2.5;C
1.0;2.0;0.0;0.5;A
5.0;6.0;2.0;2.5;C
4.0;5.0;2.0;2.5;C
5.0;6.0;2.0;2.5;C
5.0;6.0;1.5;2.0;B
4.0;5.0;1.5;2.0;B
5.0;6.0;2.0;2.5;C
6.0;7.0;2.0;2.5;C
5.0;6.0;2.0;2.5;C
4.0;5.0;1.5;2.0;B
5.0;6.0;1.0;1.5;C
1.0;2.0;0.0;0.5;A
1.0;2.0;0.0;0.5;A
5.0;6.0;1.5;2.0;C
4.0;5.0;1.5;2.0;C
4.0;5.0;1.0;1.5;B
5.0;6.0;2.0;2.5;C
5.0;6.0;1.5;2.0;C
4.0;5.0;1.5;2.0;C
4.0;5.0;1.5;2.0;C
4.0;5.0;1.0;1.5;B
5.0;6.0;1.5;2.0;C
4.0;5.0;1.0;1.5;B
5.0;6.0;2.0;2.5;C
4.0;5.0;1.0;1.5;B
7.0;8.0;1.0;0.5;D
7.0;8.0;1.0;0.5;E
3.0;4.0;1.0;1.5;B
1.0;2.0;0.0;0.5;A
1.0;2.0;0.0;0.5;A
